S.No,Review,Rating ,Car
0,"                                        Hi everyone, now I am going to share best feeling of Honda City 2017 which is face lift version of Honda city.  I have drived it recently.The gear box is CVT which works battery smooth in highway as well as in city.The car look attrative and well designed from outside according to me....",4,3
1,"                                        Hello everyone, today I am going to share my experience about Honda city 2017. Which is facelift version of Honda city. I have derived it recently and I am going to share my experience about. The car looks at active and well designed from outside according to me. The interiors are even well desi...",5,3
2,"                                        Hai friends, today I am going to share my wonderful experience about HONDA CITY 2017.This car looks attractive and well designed outside according to me.The interiors are even well designed.The gear box is CVT which works battery smooth in highway as well as in city.The car gives...",3,3
3,"                                        Hi friends, It’s very amazing car and it has capacity of 1498 CC.The Honda City 5th generation is a front engine and front wheel drive is subcompact sedan with top level features and specification.I buy this car before 2 months. It can ride luxurious and also open space. Honda launches a...",4,3
4,"                                        Hello dudes, I am here to share about honda city car. when I completed my 4 wheeler driving course I got change to drive honda city car owned by my cousin.i really enjoyed and satisified driving. I feel very comfortable also.then I too bought the same car. That was really very excited for me.the...",4,3
5,"                                        Hello Everyone, today I'm going to share my experience about HONDA CITY2017 which is a facelift version of HONDA CITY.I drives it recently and I'm going to share my review .The car looks attractive and well designed from outside .The interiors are well designed. The Gearbox is CVT which work...",4,3
6,"                                        Hello everyone, today I am going to share my experience about Honda city 2017.which is a facelift version of Honda city. I have derived it recently and I am going to share my ecexperience about.The car looks attractive and well designed from outside according to me. The interiors are eve...",4,3
7,"                                        Hello friends, I would share my experience of Honda City, as i’ve been a long term user of the car and their various models.So consider this review to be a cummulative response after a long term use of the services the company had to offer and which ive availed for about 15 years.We had ...",5,3
8,"                                        I am not happy with suspension of this car, though one of the best innovations of Honda is its mastry on japnese deisel engine. Still it came late in India market but it hit the news as soon as it came. Tata the main introducer of deisel turbo engines has now lacked behind. Though honda priced h...",2,3
9,"                                        Hi everybody,I am will share my experience with Honda city 2017 which is a facelift form of Honda city.I have driven it as of late and I am will share my experience about.The auto looks alluring and very much composed from outside as indicated by me.The insides are even well designed.The...",4,3
10,                                        I always feel the queen of this world while driving my Honda city . The best car I ever had till now . The most luxurious features . The most handsome look . Amazing pick up . Amazing average . Sound proof windows . the best luxurious car in a middle budget . Having best resale value . In short ...,5,3
11,                                        This car is powerful.This smart car really reliable.Honda city 2017 look very stylish.Drive of the honda city 2017 car is very amazing and memorable.I recommended of other once you use the car.It's also easy to run.Its handle can be easily controlled and good features added to this car but pervi...,5,3
12,"                                        Hi Frds,.I Write a review on Honda city 2017, Its very amzing car and it has capacity is 1498cc.The honda city fifth generation is a front engine and front wheel drive is subcompact sedan with toplevel features and specifications.I buy this car before 2 months, it can ride is lux...",5,3
13,"                                        Hello guys.I as of late went to Honda Agency to take test drive of Honda city. The best ponder this auto, is its astounding pickup, it comes to up to 80 km/h just inside 10 seconds.The seats of this auto is considerably more agreeable then past modals of Honda city. The mileage is additi...",5,3
14,"                                        Hello friends,Today I am going to share my experience about Honda city 2017. I have drived it recently and I am going to share about it.Specifications and Features:1) The car looks attractive and well designed.2) The gar gives mileage 17.4 kmpl. Mileage wise the car is good.3...",4,3
15,                                        Hello friends here is your friend aman and now we will discuss about Honda City.Few months later I have purchased Honda City car from Indore. I am not at all satisfied with this car and its features. I can also say that it's not a comfortable car.The quality of its rear camera is not so good. It...,1,3
16,"                                        I recently went to Honda Agency to take test drive of honda city V CVT. The best think which Iliked about this car, is its amazing pickup, it reaches upto 80 km/h just within 10 seconds.Thesears of this cae is much more comfortable then previous modals of honda city.The mileage isals...",5,3
17,"                                        Hello everyone, today I am going to share my experience about Honda city 2017 which is a facelift version of Honda city.I have drived it recently and I am going to share my experience about.The car looks attractive and well designed from outside according to me.The interiors are even well de...",5,3
18,                                        I have purchased brand new honda city ZX 2017 from surat.So few month car is perfect working.Before 5 month their tyres are very dangerous to drive in our roads initially the right front tyres had got bulging and the company told that they can't do anything only thing we have to do is change the...,1,3
